INPUT:image	GOLDEN:result
https://storage.ds.2gis.one/toloka_roadly_crop/exam/empty/15730922_2_17_17_51_51.jpg	empty
https://storage.ds.2gis.one/toloka_roadly_crop/exam/empty/17575809_2_35_33_103_99.jpg	empty
https://storage.ds.2gis.one/toloka_roadly_crop/exam/bad/11493720_2_29_9_87_65.jpg	bad
https://storage.ds.2gis.one/toloka_roadly_crop/exam/bad/11289471_1_20_19_60_55.jpg	bad
https://storage.ds.2gis.one/toloka_roadly_crop/exam/bad/12166646_2_18_18_54_52.jpg	bad
https://storage.ds.2gis.one/toloka_roadly_crop/exam/ok/17100743_2_54_55_160_163.jpg	ok
https://storage.ds.2gis.one/toloka_roadly_crop/exam/ok/15903704_2_50_45_150_133.jpg	ok
https://storage.ds.2gis.one/toloka_roadly_crop/exam/bad/11245877_2_19_17_55_51.jpg	bad
https://storage.ds.2gis.one/toloka_roadly_crop/exam/bad/1058707_1_17_18_51_52.jpg	bad
https://storage.ds.2gis.one/toloka_roadly_crop/exam/bad/9106090_2_19_17_55_51.jpg	bad
https://storage.ds.2gis.one/toloka_roadly_crop/exam/ok/16200044_2_37_41_109_121.jpg	ok
https://storage.ds.2gis.one/toloka_roadly_crop/exam/bad/586505_2_47_9_139_93.jpg	bad
https://storage.ds.2gis.one/toloka_roadly_crop/exam/ok/13627167_2_34_33_100_99.jpg	ok
https://storage.ds.2gis.one/toloka_roadly_crop/exam/bad/9431682_2_26_17_78_73.jpg	bad
https://storage.ds.2gis.one/toloka_roadly_crop/exam/ok/13383829_1_25_25_73_73.jpg	ok
https://storage.ds.2gis.one/toloka_roadly_crop/exam/bad/11833426_2_23_23_67_67.jpg	bad
https://storage.ds.2gis.one/toloka_roadly_crop/exam/empty/7605918_2_32_34_96_100.jpg	empty
https://storage.ds.2gis.one/toloka_roadly_crop/exam/empty/16948197_2_26_25_78_75.jpg	empty
https://storage.ds.2gis.one/toloka_roadly_crop/exam/bad/1995920_2_62_5_186_129.jpg	bad
https://storage.ds.2gis.one/toloka_roadly_crop/exam/ok/16345664_2_42_45_124_133.jpg	ok
https://storage.ds.2gis.one/toloka_roadly_crop/exam/ok/12172138_2_41_36_121_108.jpg	ok
https://storage.ds.2gis.one/toloka_roadly_crop/exam/bad/3924631_2_29_3_87_67.jpg	bad
https://storage.ds.2gis.one/toloka_roadly_crop/exam/ok/14295512_2_25_24_75_72.jpg	ok
https://storage.ds.2gis.one/toloka_roadly_crop/exam/bad/11265992_2_30_25_88_75.jpg	bad
https://storage.ds.2gis.one/toloka_roadly_crop/exam/ok/12206885_2_41_37_123_111.jpg	ok
