INPUT:image	GOLDEN:result
https://storage.ds.2gis.one/toloka_roadly_crop/honeypot_images/val/disk9/3_4/G5P_0372_G5P_0372_000587_0.972605.png	bad
https://storage.ds.2gis.one/toloka_roadly_crop/honeypot_images/val/Moscow/3_24_n20/G5P_0438_10_136_[0.47].png	bad
https://storage.ds.2gis.one/toloka_roadly_crop/honeypot_images/val/Moscow/3_24_n40/G5P_0414_15_65_[0.99].png	bad
https://storage.ds.2gis.one/toloka_roadly_crop/honeypot_images/train/roadly/dynamic_sign/35392914.jpg	bad
https://storage.ds.2gis.one/toloka_roadly_crop/honeypot_images/train/GTSRB/3_24_n80/00005_00025.png	bad
https://storage.ds.2gis.one/toloka_roadly_crop/honeypot_images/test/msp/3_24_n5/15681_f_00000235_1.0.png	bad
https://storage.ds.2gis.one/toloka_roadly_crop/honeypot_images/train/share2/3_24_n5/FILE180727-124415_FILE180727-124415_001005_1.0.png	bad
https://storage.ds.2gis.one/toloka_roadly_crop/honeypot_images/train/GTSRB/3_24_n60/00040_00029.png	bad
https://storage.ds.2gis.one/toloka_roadly_crop/honeypot_images/train/share2/3_24_n40/FILE180711-100022_FILE180711-100022_000719_0.999991.png	bad
https://storage.ds.2gis.one/toloka_roadly_crop/honeypot_images/val/Moscow/3_24_n20/G5P_0422_8_183_[0.28].png	bad
https://storage.ds.2gis.one/toloka_roadly_crop/honeypot_images/train/roadly/dynamic_sign/25956426.jpg	bad
https://storage.ds.2gis.one/toloka_roadly_crop/honeypot_images/test/tmp_signs/3_24_n40_tmp/20180521_142815_f_00000965_0.999625.png	bad
https://storage.ds.2gis.one/toloka_roadly_crop/honeypot_images/train/share1/3_24_n40/20180510_120535_f_00014180_0.999932.png	bad
https://storage.ds.2gis.one/toloka_roadly_crop/honeypot_images/train/share2/3_24_n40/FILE180710-135210_FILE180710-135210_000367_0.999989.png	bad
https://storage.ds.2gis.one/toloka_roadly_crop/honeypot_images/test/roadly_tmp/3_25_n40_tmp/27868187_2_40_40_118_118.jpg	bad
https://storage.ds.2gis.one/toloka_roadly_crop/honeypot_images/train/share1/3_24_n40/FILE0019 (2)_f_00005395_0.999956.png	bad
https://storage.ds.2gis.one/toloka_roadly_crop/honeypot_images/train/disk[8+11]/3_24_n5/FILE170508-130125_FILE170508-130125_000942_1.0.png	bad
https://storage.ds.2gis.one/toloka_roadly_crop/honeypot_images/train/fiji/3_4/FILE200520-092416F_12a356bb-0394-479b-833c-8c6f0f0728f7_FILE200520-092416F_12a356bb-0394-479b-833c-8c6f0f0728f7_001392_1.0.png	bad
https://storage.ds.2gis.one/toloka_roadly_crop/honeypot_images/val/Moscow/3_24_n20/G5P_0251_3_221_[0.99].png	bad
https://storage.ds.2gis.one/toloka_roadly_crop/honeypot_images/test/fiji/3_4/FILE190801-123144F_271057ae-1949-44e7-9d56-ac7d3ca6a834_462d0026-4d6a-442c-a6f2-b0c348b20718.jpg	bad
https://storage.ds.2gis.one/toloka_roadly_crop/honeypot_images/train/share2/3_24_n40/FILE180711-154016_FILE180711-154016_000555_1.0.png	bad
https://storage.ds.2gis.one/toloka_roadly_crop/honeypot_images/train/roadly/dynamic_sign/36186698.jpg	bad
https://storage.ds.2gis.one/toloka_roadly_crop/honeypot_images/train/share2/3_4/FILE180711-154016_FILE180711-154016_000430_1.0.png	bad
